Card Name,Set Name,Normal Price (USD),Foil Price (USD)
Covetous Elegy,Ravnica: Clue Edition,0.41,
Covetous Urge,Throne of Eldraine,0.08,0.21
Cowardice,Ninth Edition,0.53,
Coward // Killer,Doctor Who,0.08,0.18
Cowed by Wisdom,Saviors of Kamigawa,0.16,0.34
Cower in Fear,Modern Masters 2017,0.10,0.23
Cowl Prowler,Battlebond,0.03,0.25
Crabapple Cohort,Shadowmoor,0.10,
Crabomination,Modern Horizons 3,0.36,0.37
Crab Umbra,Rise of the Eldrazi,0.34,9.36
Crackdown,Mercadian Masques,9.16,50.30
Crackdown Construct,Aether Revolt,0.11,0.67
Cracked Skull,Duskmourn: House of Horror,0.03,0.06
Crack in Time,Doctor Who,0.08,0.18
Crackleburr,Eventide,0.91,2.85
Crackle with Power,Strixhaven: School of Mages,4.15,3.60
Crackling Club,Torment,0.18,0.54
Crackling Cyclops,Foundations,0.02,0.05
Crackling Doom,Double Masters 2022,0.25,0.37
Crackling Drake,Ravnica Remastered,0.09,0.14
Crackling Emergence,Kamigawa: Neon Dynasty,0.02,0.05
Crackling Perimeter,Gatecrash,0.19,2.94
Crackling Spellslinger,Outlaws of Thunder Junction Commander,0.18,
Crackling Triton,Theros,0.01,0.10
Crack Open,March of the Machine Commander,0.06,
Crack the Earth,Betrayers of Kamigawa,0.21,0.89
Cradle Clearcutter,The Brothers' War,0.12,0.20
Cradle Guard,Urza's Saga,0.30,
Cradle of Safety,Innistrad: Crimson Vow,0.03,0.07
Cradle of the Accursed,Amonkhet,0.17,1.13
Cradle of Vitality,Jumpstart,0.31,
Cradle to Grave,Planar Chaos,0.14,
Crafty Cutpurse,Commander 2021,0.20,
Crafty Pathmage,Tenth Edition,0.04,0.24
Cragcrown Pathway // Timbercrown Pathway,Zendikar Rising,3.55,3.16
Cragganwick Cremator,Double Masters,0.12,0.78
Cragplate Baloth,Zendikar Rising,0.09,0.20
Crag Puca,Eventide,0.14,0.48
Crag Saurian,Mercadian Masques,0.45,9.31
Cragsmasher Yeti,March of the Machine,0.07,0.21
"Craig Boone, Novac Guard",Fallout,0.14,2.09
Cramped Vents // Access Maze,Duskmourn: House of Horror Commander,0.67,
Cram Session,Strixhaven: School of Mages,0.06,0.08
Cranial Archive,Khans of Tarkir,,
Cranial Extraction,Champions of Kamigawa,0.71,4.75
Cranial Plating,Double Masters,0.40,0.42
Cranial Ram,Modern Horizons 3,0.03,0.10
Crash,Mercadian Masques,0.13,5.01
Crashing Boars,Tempest Remastered,,
Crashing Centaur,Odyssey,0.11,10.33
Crashing Drawbridge,Commander Masters,1.37,
Crashing Footfalls,Modern Horizons,0.39,4.28
Crashing Tide,Rivals of Ixalan,0.07,0.15
Crash Landing,Guildpact,0.10,
Crash of Rhino Beetles,Commander Masters,0.12,0.09
Crash of Rhinos,Mirage,0.10,
Crash the Party,New Capenna Commander,0.20,
Crash the Ramparts,Ixalan,0.02,0.22
Crash Through,Foundations,0.26,
Crater Elemental,Dragons of Tarkir,0.12,0.75
Crater Hellion,Eternal Masters,0.19,0.40
Craterhoof Behemoth,Commander Masters,35.66,36.19
Craterize,Magic 2013,0.10,0.25
Crater's Claws,Khans of Tarkir,,
Craven Giant,Tempest Remastered,,
Craven Hulk,Kaldheim,0.03,0.04
Craven Knight,Portal,0.21,
Craw Giant,Time Spiral Timeshifted,0.30,0.78
Crawl from the Cellar,Innistrad: Midnight Hunt,0.05,0.15
Crawling Barrens,Foundations,0.19,
Crawling Chorus,Phyrexia: All Will Be One,0.16,0.17
Crawling Filth,Betrayers of Kamigawa,0.09,0.59
Crawling Infestation,Commander Masters,0.10,0.13
Crawling Sensation,Duskmourn: House of Horror Commander,0.13,
Crawlspace,Dominaria Remastered,3.21,3.84
Craw Wurm,Magic 2010,0.09,0.25
Crazed Armodon,Tempest,0.36,
Crazed Firecat,Torment,0.29,0.53
Crazed Goblin,Darksteel,0.05,0.24
Crazed Skirge,Urza's Saga,0.23,
Creakwood Ghoul,Eventide,0.15,0.59
Creakwood Liege,Double Masters 2022,1.71,1.32
Cream of the Crop,Morningtide,10.18,26.78
Creative Outburst,Strixhaven: School of Mages,0.06,0.20
Creative Technique,Commander 2021,1.13,
Creature Bond,Fourth Edition,0.05,
Credit Voucher,Mercadian Masques,0.81,5.97
Creeperhulk,Commander Anthology,0.25,
Creeping Bloodsucker,Foundations Jumpstart,4.04,
Creeping Chill,Guilds of Ravnica,0.19,3.05
Creeping Corrosion,Mirrodin Besieged,1.47,6.70
Creeping Dread,Shadows over Innistrad,0.11,0.46
Creeping Mold,Kaladesh,0.05,0.27
Creeping Peeper,Duskmourn: House of Horror,0.02,0.03
Creeping Renaissance,Commander 2018,1.58,
Creeping Tar Pit,Commander Legends: Battle for Baldur's Gate,0.26,
Creeping Trailblazer,Core Set 2020,0.08,0.57
Creepy Doll,Innistrad,1.09,8.21
Creepy Puppeteer,Innistrad: Crimson Vow,0.06,0.20
Cremate,Return to Ravnica,0.13,0.55
Crenellated Wall,Mercadian Masques,0.26,3.87
Creosote Heath,Outlaws of Thunder Junction,0.11,0.19
Crescendo of War,Vintage Masters,,
Crested Craghorn,Legions,0.10,0.35
Crested Herdcaller,Game Night 2019,0.25,
Crested Sunmare,Hour of Devastation,6.41,7.96
Cresting Mosasaurus,Jurassic World Collection,1.98,2.81
Crevasse,Legends,1.33,
Crew Captain,Streets of New Capenna,0.02,0.02
Crib Swap,Commander Legends: Battle for Baldur's Gate,0.19,
Crime Novelist,Murders at Karlov Manor,0.34,1.11
Crime // Punishment,Dissension,1.38,20.00
Crimestopper Sprite,Murders at Karlov Manor,0.02,0.03
Criminal Past,Commander Legends: Battle for Baldur's Gate,0.03,0.22
Crimson Acolyte,Invasion,0.95,6.91
Crimson Caravaneer,Fallout,0.06,0.49
Crimson Fleet Commodore,Commander Masters,0.05,0.08
Crimson Hellkite,Seventh Edition,0.53,
Crimson Honor Guard,Crimson Vow Commander,0.10,
Crimson Kobolds,Masters Edition III,,
Crimson Mage,Masters 25,0.05,0.50
Crimson Manticore,Masters Edition III,,
Crimson Muckwader,Magic 2013,0.02,0.36
Crimson Roc,Mirage,0.13,
Crimson Wisps,Shadowmoor,6.92,35.14
Crippling Blight,Magic 2015,0.05,0.24
Crippling Chill,Modern Masters 2017,0.06,0.25
Crippling Fatigue,Torment,0.19,2.98
Crippling Fear,Commander Masters,0.65,
Crisis of Conscience,Doctor Who,0.13,0.35
Critical Hit,Adventures in the Forgotten Realms,0.09,0.38
Croakid Amphibonaut,Unfinity,0.03,0.05
Croaking Counterpart,Innistrad: Midnight Hunt,0.43,0.44
Crocanura,Ravnica Remastered,0.05,0.09
Crocodile of the Crossing,Amonkhet,0.05,0.58
Cromat,Apocalypse,3.97,60.29
Crookclaw Elder,Legions,0.22,5.34
Crookclaw Transmuter,Time Spiral Remastered,0.02,
Crooked Custodian,Streets of New Capenna,0.02,0.01
Crooked Scales,Mercadian Masques,0.76,15.87
Crook of Condemnation,Hour of Devastation,0.04,0.41
Crookshank Kobolds,Masters Edition,,
Crop Rotation,Dominaria Remastered,2.10,2.20
Crop Sigil,Eldritch Moon,0.20,0.66
Crosis's Attendant,Invasion,0.20,6.61
Crosis's Catacombs,Dominaria Remastered,0.16,0.30
Crosis's Charm,Commander 2017,0.44,
"Crosis, the Purger",Commander 2017,0.56,
Crossbow Ambush,Stronghold,0.11,
Crossbow Infantry,Ninth Edition,0.09,
Crossroads Candleguide,Innistrad: Midnight Hunt,0.02,0.08
Crossroads Consecrator,Eldritch Moon,0.03,0.12
Crosstown Courier,Duel Decks: Jace vs. Vraska,0.07,
Crossway Troublemakers,The Lost Caverns of Ixalan Commander,0.20,
Crossway Vampire,Innistrad,0.10,2.69
Crosswinds,Urza's Saga,0.19,
"Crovax, Ascendant Hero",Time Spiral Remastered,0.28,1.30
Crovax the Cursed,Tempest Remastered,,
Crowd-Control Warden,Murders at Karlov Manor,0.01,0.03
Crowded Crypt,Midnight Hunt Commander,4.72,
Crowd Favorites,Onslaught,0.10,0.54
Crowd of Cinders,Shadowmoor,0.36,0.56
Crowd's Favor,Magic 2015,0.07,0.29
Crowned Ceratok,Iconic Masters,0.06,0.17
Crown-Hunter Hireling,Conspiracy: Take the Crown,0.05,0.47
Crown of Ascension,Onslaught,0.06,0.31
Crown of Awe,Onslaught,0.20,0.34
Crown of Convergence,Ravnica: City of Guilds,0.29,0.27
Crown of Doom,Commander 2014,2.84,
Crown of Empires,Magic 2012,0.13,0.77
Crown of Flames,Invasion,0.26,1.66
Crown of Fury,Onslaught,0.07,0.64
Crown of Gondor,Tales of Middle-earth Commander,0.27,
Crown of Skemfar,Kaldheim Commander,0.56,
Crown of Suspicion,Onslaught,0.08,0.28
Crown of the Ages,Fifth Edition,0.42,
Crown of Vigor,Onslaught,0.08,0.39
Crow of Dark Tidings,Foundations,0.37,
Crucible of Fire,Iconic Masters,1.17,2.77
Crucible of the Spirit Dragon,Forgotten Realms Commander,0.36,
Crucible of Worlds,Double Masters 2022,25.08,28.07
Crude Rampart,Onslaught,0.13,0.30
Cruel Bargain,Vintage Masters,,
Cruel Celebrant,The Lost Caverns of Ixalan Commander,1.47,
Cruelclaw's Heist,Bloomburrow,1.04,1.04
Cruel Deceiver,Champions of Kamigawa,0.08,0.39
Cruel Edict,Duel Decks Anthology: Divine vs. Demonic,0.39,
Cruel Entertainment,Commander 2016,2.69,
Cruel Fate,Portal,1.14,
Cruel Feeding,Journey into Nyx,0.04,0.21
Cruel Finality,Aether Revolt,0.02,0.08
Cruel Grimnarch,Phyrexia: All Will Be One,0.03,0.04
Cruel Reality,Amonkhet,2.16,3.09
Cruel Revival,Game Night,0.18,
Cruel Sadist,Magic 2015,0.13,1.01
Cruel Somnophage // Can't Wake Up,Wilds of Eldraine,0.25,0.30
Cruel Tutor,Portal,28.20,
Cruel Ultimatum,Archenemy: Nicol Bolas,0.54,
Cruel Witness,Innistrad: Crimson Vow,0.02,0.09
Crumb and Get It,Bloomburrow,0.06,0.07
Crumble,Masters Edition IV,,
Crumble to Dust,Battle for Zendikar,0.12,1.44
Crumbling Ashes,Eventide,6.63,10.76
Crumbling Colossus,Magic 2012,0.07,0.22
Crumbling Necropolis,The Lost Caverns of Ixalan Commander,0.27,
Crumbling Sanctuary,Mercadian Masques,2.38,26.98
Crumbling Vestige,Oath of the Gatewatch,0.10,0.81
Crusader of Odric,Foundations,0.21,
Crusading Knight,Invasion,1.10,22.52
Crush,Mirrodin Besieged,0.08,0.32
Crush Contraband,Neon Dynasty Commander,0.09,
Crush Dissent,War of the Spark,0.07,0.42
Crusher Zendikon,Worldwake,0.05,0.25
Crushing Canopy,Innistrad: Crimson Vow,0.01,0.04
Crushing Disappointment,Strixhaven: School of Mages,0.04,0.15
Crushing Pain,Champions of Kamigawa,0.13,0.35
Crushing Vines,Commander Legends,0.02,0.19
Crush of Tentacles,Oath of the Gatewatch,1.01,6.31
Crush of Wurms,Judgment,2.25,21.10
Crush the Weak,Kaldheim,0.05,0.14
Crush Underfoot,Modern Masters,0.13,0.41
Crux of Fate,Commander 2017,2.33,
Cryoclasm,Tenth Edition,0.13,
Cry of Contrition,Guildpact,0.13,2.16
Cry of the Carnarium,Ravnica Allegiance,0.12,0.27
Crypsis,Born of the Gods,0.03,0.30
Crypt Angel,Invasion,1.10,44.99
Cryptborn Horror,Return to Ravnica,0.15,0.60
Cryptbreaker,Eldritch Moon,4.74,8.73
Crypt Champion,Dissension,0.15,0.49
Crypt Cobra,Mirage,0.21,
Crypt Creeper,Avacyn Restored,0.05,0.24
Cryptek,"Warhammer 40,000 Commander",0.20,
Cryptex,Murders at Karlov Manor,0.06,0.08
Crypt Feaster,Foundations,0.01,0.05
Crypt Ghast,Ravnica Remastered,11.95,13.03
Cryptic Annelid,Time Spiral Remastered,0.19,3.27
Cryptic Caves,Foundations,0.12,
Cryptic Coat,Murders at Karlov Manor,0.31,0.64
Cryptic Command,Iconic Masters,7.03,9.00
Cryptic Cruiser,Battle for Zendikar,0.07,0.25
Cryptic Gateway,Dominaria Remastered,0.65,0.78
Cryptic Pursuit,New Capenna Commander,0.11,
Cryptic Serpent,Commander Masters,0.34,0.99
Cryptic Spires,The List,0.22,
Cryptic Trilobite,Commander 2020,0.40,
Cryptid Inspector,Duskmourn: House of Horror,0.02,0.02
Crypt Incursion,Dragon's Maze,0.25,5.26
Crypt Lurker,Core Set 2021,0.02,0.07
Crypt of Agadeem,Commander 2014,6.71,
Crypt of the Eternals,Hour of Devastation,0.10,1.06
Cryptolith Fragment // Aurora of Emrakul,Eldritch Moon,0.65,5.98
Cryptolith Rite,Shadows over Innistrad,13.38,24.37
Cryptoplasm,Mirrodin Besieged,0.73,4.91
Cryptothrall,"Warhammer 40,000 Commander",6.16,
Crypt Rats,Modern Horizons,0.50,12.21
Crypt Ripper,Zendikar,0.04,0.27
Crypt Sliver,Commander Masters,0.85,
Cryptwailing,Guildpact,0.16,
Crystacean,Ikoria: Lair of Behemoths,0.04,0.13
Crystal Ball,Commander 2018,0.27,
Crystal Barricade,Foundations,1.15,1.01
Crystal Carapace,March of the Machine,0.03,0.06
Crystal Chimes,Commander 2015,1.06,
Crystal Dragon // Rob the Hoard,Commander Legends: Battle for Baldur's Gate,0.08,0.14
Crystal Golem,Mirage,0.25,
Crystal Grotto,Wilds of Eldraine,0.07,0.09
Crystalline Crawler,Commander Anthology Volume II,2.62,
Crystalline Giant,New Capenna Commander,0.21,
Crystalline Nautilus,Journey into Nyx,0.07,0.43
Crystalline Resonance,Commander 2020,0.07,
Crystalline Sliver,Commander Masters,0.89,
Crystallization,Alara Reborn,0.17,0.59
Crystal Quarry,Dominaria United Commander,0.80,
Crystal Rod,Eighth Edition,0.12,
Crystal Seer,Guildpact,0.02,0.24
Crystal Shard,Mirrodin,1.42,7.20
"Crystal Skull, Isu Spyglass",Assassin's Creed,2.78,2.99
Crystal Slipper,Throne of Eldraine,0.06,0.17
Crystal Spray,Invasion,9.78,36.95
Crystal Vein,Commander Anthology,4.62,
Cubwarden,Ikoria: Lair of Behemoths,0.24,0.38
Cudgel Troll,Magic 2012,0.03,0.18
Culling Dais,Double Masters,0.20,0.54
Culling Drone,Battle for Zendikar,0.05,0.28
Culling Mark,Born of the Gods,0.04,0.10
Culling Ritual,Duskmourn: House of Horror Commander,0.35,
Culling Scales,Mirrodin,0.36,1.50
Culling Sun,Guildpact,0.22,1.00
Culling the Weak,Exodus,9.74,
Culmination of Studies,Strixhaven: School of Mages,0.11,0.23
Cultbrand Cinder,Shadowmoor,0.05,0.28
Cult Conscript,Dominaria United,0.08,0.22
Cult Guildmage,Ravnica Allegiance,0.04,0.37
Cult Healer,Duskmourn: House of Horror,0.02,0.03
Cultist of the Absolute,Commander Legends: Battle for Baldur's Gate,0.19,0.24
Cultist's Staff,Eldritch Moon,0.02,0.16
Cultivate,Duskmourn: House of Horror Commander,0.63,
Cultivator Colossus,Innistrad: Crimson Vow,14.18,14.55
Cultivator Drone,Oath of the Gatewatch,0.05,0.51
Cultivator of Blades,Kaldheim Commander,0.35,
Cultivator's Caravan,Foundations,0.15,
Cult of Skaro,Doctor Who,0.09,0.26
Cult of the Waxing Moon,Shadows over Innistrad,0.11,2.39
Cultural Exchange,Odyssey,5.20,30.48
Culvert Ambusher,Murders at Karlov Manor,0.01,0.01
Cumber Stone,Conflux,0.07,0.25
Cunning,Exodus,0.11,
Cunning Advisor,Portal Three Kingdoms,3.85,
"Cunning Bandit // Azamuki, Treachery Incarnate",Betrayers of Kamigawa,0.20,0.71
Cunning Breezedancer,Dragons of Tarkir,0.09,0.49
Cunning Coyote,Outlaws of Thunder Junction,0.12,0.11
Cunning Evasion,Modern Horizons,0.34,5.24
Cunning Geysermage,Zendikar Rising,0.04,0.02
Cunning Giant,Portal Second Age,1.95,
Cunning Lethemancer,Shards of Alara,7.85,9.36
Cunning Nightbonder,Ikoria: Lair of Behemoths,0.14,1.40
Cunning Rhetoric,Outlaws of Thunder Junction Commander,0.32,
Cunning Sparkmage,Worldwake,0.29,3.06
Cunning Strike,Fate Reforged,0.03,0.18
Cunning Survivor,Hour of Devastation,0.04,0.24
Cunning Wish,Judgment,3.91,40.99
Cuombajj Witches,Commander Legends,0.13,0.22
Curate,Murders at Karlov Manor Commander,0.04,
Curator Beastie,Duskmourn: House of Horror Commander,0.18,
Curator of Destinies,Foundations,0.12,0.14
Curator of Mysteries,Forgotten Realms Commander,0.20,
Curator of Sun's Creation,The Lost Caverns of Ixalan,0.04,0.12
Curator's Ward,Dominaria,0.21,3.47
Curfew,Urza's Saga,0.38,
"Curie, Emergent Intelligence",Fallout,0.14,0.48
Curiosity,Jumpstart,0.34,
Curiosity Crafter,Commander 2021,1.03,
Curious Altisaur,The Lost Caverns of Ixalan Commander,3.58,
Curious Cadaver,Murders at Karlov Manor,0.03,0.13
Curious Forager,Bloomburrow,0.12,0.11
Curious Herd,Commander 2020,0.31,
Curious Homunculus // Voracious Reader,Eldritch Moon,0.22,2.61
Curious Inquiry,Murders at Karlov Manor,0.07,0.07
Curious Obsession,Jumpstart,0.78,
Curious Pair // Treats to Share,Throne of Eldraine,0.04,0.16
Curio Vendor,Kaladesh,0.04,
Currency Converter,New Capenna Commander,4.97,
Curse Artifact,The Dark,1.06,
Cursebreak,Avacyn Restored,0.10,0.35
Cursecatcher,Masters 25,0.44,1.52
Cursed Courtier,Wilds of Eldraine,0.01,0.02
Cursed Firebreathing Yogurt,Unfinity Sticker Sheets,0.17,
Cursed Flesh,Tempest Remastered,,
Cursed Land,Fifth Edition,0.26,
Cursed Minotaur,Amonkhet,0.02,0.20
Cursed Mirror,Modern Horizons 3,0.55,0.63
Cursed Monstrosity,Odyssey,0.31,2.00
Cursed Rack,Masters Edition,,
Cursed Recording,Duskmourn: House of Horror,0.12,0.18
Cursed Ronin,Champions of Kamigawa,0.15,0.42
Cursed Scroll,Tempest Remastered,,
Cursed Totem,Modern Horizons 2,0.57,9.59
Cursed Windbreaker,Duskmourn: House of Horror,0.04,0.05
Cursed Wombat,Modern Horizons 3,0.05,0.12
Curse of Bloodletting,Dark Ascension,1.18,6.65
Curse of Bounty,Commander 2017,0.64,
Curse of Chains,Ravnica: Clue Edition,0.10,
Curse of Chaos,Commander 2013,0.30,
Curse of Clinging Webs,Midnight Hunt Commander,2.11,
Curse of Conformity,Midnight Hunt Commander,0.17,
Curse of Death's Hold,Innistrad,0.95,2.78
Curse of Disturbance,Commander 2021,1.57,
Curse of Echoes,Dark Ascension,0.54,1.62
Curse of Exhaustion,Dark Ascension,0.31,2.91
Curse of Fool's Wisdom,Commander 2019,3.48,
Curse of Hospitality,Innistrad: Crimson Vow,0.17,0.31
Curse of Inertia,Commander Anthology,0.60,
Curse of Leeches // Leeching Lurker,Innistrad: Midnight Hunt,0.14,0.22
Curse of Marit Lage,Ice Age,0.53,
Curse of Misfortunes,Dark Ascension,0.66,3.95
Curse of Oblivion,Innistrad,0.09,1.80
Curse of Obsession,Midnight Hunt Commander,0.29,
Curse of Opulence,Murders at Karlov Manor Commander,0.99,
Curse of Predation,Iconic Masters,0.34,0.78
Curse of Shaken Faith,Innistrad: Midnight Hunt,0.26,0.31
Curse of Shallow Graves,Commander 2013,0.86,
Curse of Silence,Innistrad: Midnight Hunt,0.13,0.26
Curse of Stalked Prey,Innistrad,0.47,1.70
Curse of Surveillance,Innistrad: Midnight Hunt,0.14,0.19
Curse of the Bloody Tome,Innistrad,0.13,0.97
Curse of the Cabal,Time Spiral,3.58,13.13
Curse of the Forsaken,Commander Anthology,0.30,
Curse of the Nightly Hunt,Commander Anthology Volume II,0.26,
Curse of the Pierced Heart,Innistrad,0.14,4.56
Curse of the Restless Dead,Midnight Hunt Commander,3.02,
Curse of the Swine,Outlaws of Thunder Junction Commander,0.14,
Curse of the Werefox,Wilds of Eldraine,0.02,0.06
Curse of Thirst,Dark Ascension,0.17,3.20
Curse of Unbinding,Midnight Hunt Commander,2.01,
Curse of Vengeance,Commander 2016,5.76,
Curse of Verbosity,Commander Legends: Battle for Baldur's Gate,0.47,
Curse of Vitality,Commander 2017,0.67,
Curse of Wizardry,Rise of the Eldrazi,0.26,0.32
Curtain of Light,Saviors of Kamigawa,0.15,0.73
Curtains' Call,Outlaws of Thunder Junction Commander,0.18,
Custodian of the Trove,Dragons of Tarkir,0.03,
Custodi Lich,New Capenna Commander,0.23,
Custodi Peacekeeper,Conspiracy: Take the Crown,0.03,0.24
Custodi Soulbinders,Crimson Vow Commander,0.09,
Custodi Soulcaller,Conspiracy: Take the Crown,0.16,0.59
Custodi Squire,Commander Masters,0.06,0.10
Custody Battle,Onslaught,1.07,4.66
Customs Depot,Mercadian Masques,0.20,1.14
Cut a Deal,Commander Legends: Battle for Baldur's Gate,0.19,0.21
Cut Down,Dominaria United,4.99,6.04
Cut In,Wilds of Eldraine,0.02,0.03
Cut of the Profits,Streets of New Capenna,0.12,0.20
Cut // Ribbons,Amonkhet,0.35,1.22
Cut Short,March of the Machine,0.04,0.07
Cut the Earthly Bond,Saviors of Kamigawa,0.14,0.34
Cut the Tethers,Champions of Kamigawa,0.09,0.26
Cutthroat Centurion,Phyrexia: All Will Be One,0.01,0.04
Cutthroat Contender,Streets of New Capenna,0.01,0.04
Cutthroat il-Dal,Time Spiral Remastered,0.03,0.12
Cutthroat Maneuver,Theros,0.02,0.12
Cutthroat Negotiator,March of the Machine Commander,0.20,
Cut Your Losses,Streets of New Capenna,0.45,0.87
Cyber Conversion,Doctor Who,1.76,3.97
Cyberdrive Awakener,Neon Dynasty Commander,8.84,
Cyberman Patrol,Doctor Who,4.09,5.54
Cybermat,Doctor Who,0.05,0.29
Cybermen Squadron,Doctor Who,9.51,11.06
Cybernetica Datasmith,"Warhammer 40,000 Commander",0.11,
Cybership,Doctor Who,0.22,2.78
Cycle of Life,Mirage,0.78,
Cyclical Evolution,Future Sight,0.24,0.46
Cyclone,Masters Edition IV,,
Cyclone Sire,Oath of the Gatewatch,0.05,
Cyclone Summoner,Kaldheim,0.23,0.17
Cyclonic Rift,Ravnica Remastered,44.76,44.81
"Cyclonus, the Saboteur // Cyclonus, Cybertronian Fighter",Transformers,0.44,0.54
Cyclopean Giant,Time Spiral,0.08,0.25
Cyclopean Mummy,Masters Edition IV,,
Cyclopean Snare,Ravnica: City of Guilds,0.07,0.20
Cyclopean Tomb,Masters Edition IV,,
Cyclops Electromancer,Commander Masters,0.04,0.02
Cyclops Gladiator,Magic 2011,0.24,
Cyclops of Eternal Fury,Journey into Nyx,0.08,0.38
Cyclops of One-Eyed Pass,Born of the Gods,0.02,0.12
Cyclops Superconductor,Modern Horizons 3,0.03,0.06
Cyclops Tyrant,Magic 2014,0.02,
Cylian Elf,Shards of Alara,0.14,0.50
Cylian Sunsinger,Conflux,0.17,0.64
"Cynette, Jelly Drover",Foundations Jumpstart,0.68,
Cynical Loner,Duskmourn: House of Horror,0.13,0.20
Cystbearer,Scars of Mirrodin,0.14,0.99
Cytoplast Manipulator,Dissension,4.51,25.41
Cytoplast Root-Kin,Modern Masters 2015,0.26,0.47
Cytoshape,Dissension,0.31,2.00
Cytospawn Shambler,Dissension,0.10,0.19
Dack Fayden,Eternal Masters,9.07,34.97
Dack's Duplicate,Double Masters 2022,0.29,0.38
Daemogoth Titan,Strixhaven: School of Mages,0.44,0.94
Daemogoth Woe-Eater,Strixhaven: School of Mages,0.20,0.23
Daggerback Basilisk,Core Set 2019,0.03,0.23
Dagger Caster,Ravnica: Clue Edition,0.14,
Daggerclaw Imp,Ravnica: Clue Edition,0.09,
Daggerdrome Imp,Battlebond,0.07,0.88
Daggerfang Duo,Bloomburrow,0.04,0.04
Daggermaw Megalodon,Duskmourn: House of Horror,0.03,0.04
Dagger of the Worthy,Hour of Devastation,0.04,0.37
Daggersail Aeronaut,Core Set 2020,0.03,0.09
Daghatar the Adamant,Fate Reforged,0.15,0.54
Daily Regimen,Duel Decks: Heroes vs. Monsters,0.09,
Dakkon Blackblade,Masters Edition,,
"Dakkon, Shadow Slayer",Modern Horizons 2,0.36,1.23
Dakmor Bat,Portal Second Age,0.27,
Dakmor Ghoul,Starter 1999,1.97,
Dakmor Lancer,Seventh Edition,0.18,
Dakmor Plague,Masters Edition IV,,
Dakmor Salvage,Ultimate Masters,0.48,3.28
Dakmor Scorpion,Starter 1999,0.14,
Dakmor Sorceress,Starter 1999,6.48,
Dakra Mystic,Journey into Nyx,0.24,2.76
"Dalakos, Crafter of Wonders",Theros Beyond Death,0.27,0.43
Dalek Drone,Doctor Who,0.29,1.96
Dalek Squadron,Doctor Who,0.18,1.36
"Damia, Sage of Stone",Commander Anthology Volume II,,5.67
Damn,The Lost Caverns of Ixalan Commander,2.21,
Damnable Pact,New Capenna Commander,0.23,
Damnation,Double Masters 2022,18.68,21.00
Damning Verdict,New Capenna Commander,12.86,
Dampening Pulse,Battle for Zendikar,0.04,0.23
Dampen Thought,Modern Masters,0.07,
Damping Engine,Urza's Legacy,0.65,42.70
Damping Field,Antiquities,10.01,
Damping Matrix,Modern Masters 2017,0.75,3.98
Damping Sphere,Dominaria Remastered,0.57,1.56
Dance of Many,Masters Edition III,,
Dance of Shadows,Champions of Kamigawa,0.09,0.30
Dance of the Dead,Masters Edition II,,
Dance of the Manse,Neon Dynasty Commander,0.56,
Dance of the Skywise,Dragons of Tarkir,0.13,0.53
Dance of the Tumbleweeds,Outlaws of Thunder Junction,0.04,0.18
Dance with Calamity,March of the Machine Commander,0.62,
Dance with Devils,Jumpstart,0.09,
Dancing Scimitar,Ninth Edition,0.11,
Dancing Sword,Adventures in the Forgotten Realms,0.10,0.15
Dandân,Time Spiral Timeshifted,7.41,35.77
Dangerous Wager,Avacyn Restored,0.12,1.42
"Danitha, Benalia's Hope",Dominaria United,1.02,1.08
"Danitha Capashen, Paragon",Commander Masters,0.43,2.81
"Danitha, New Benalia's Light",March of the Machine: The Aftermath,0.59,0.52
Dan Lewis,Doctor Who,0.09,0.37
Danny Pink,Doctor Who,4.17,5.12
Danse Macabre,Forgotten Realms Commander,1.75,
Dapper Shieldmate,Streets of New Capenna,0.02,0.04
Daraja Griffin,Classic Sixth Edition,0.18,
Darba,Prophecy,0.18,5.09
Daredevil Dragster,Aether Revolt,0.04,0.24
"Daretti, Ingenious Iconoclast",Conspiracy: Take the Crown,5.77,27.62
"Daretti, Scrap Savant",Commander Masters,1.18,1.13
"Dargo, the Shipwrecker",Commander Legends,0.10,0.21
"Darien, King of Kjeldor",Murders at Karlov Manor Commander,0.25,
Darigaaz Reincarnated,Dominaria,0.66,4.16
Darigaaz's Attendant,Invasion,0.16,1.93
Darigaaz's Caldera,Dominaria Remastered,0.14,0.33
Darigaaz's Charm,Duel Decks: Phyrexia vs. the Coalition,0.27,
"Darigaaz, the Igniter",Duel Decks: Phyrexia vs. the Coalition,0.53,
Daring Apprentice,Ninth Edition,0.33,
Daring Archaeologist,Dominaria,0.12,0.22
Daring Buccaneer,Rivals of Ixalan,0.09,0.71
Daring Demolition,Aether Revolt,0.02,0.24
Daring Discovery,The Lost Caverns of Ixalan,0.02,0.03
Daring Escape,Streets of New Capenna,0.03,0.04
Daring Fiendbonder,Commander 2020,0.72,
Daring Leap,Planeshift,0.07,0.39
Daring Piracy,Jumpstart 2022,0.17,
Daring Saboteur,The Lost Caverns of Ixalan Commander,0.03,
Daring Skyjek,Gatecrash,0.03,0.19
Daring Sleuth // Bearer of Overwhelming Truths,Shadows over Innistrad,0.10,0.72
Daring Thief,Journey into Nyx,0.31,1.39
Daring Thunder-Thief,Outlaws of Thunder Junction,0.03,0.04
Daring Waverider,Bloomburrow,0.06,0.13
Dark Apostle,"Warhammer 40,000 Commander",0.14,
Dark Banishing,Tempest Remastered,,
